Symbol,Date,Price,Score,Strategies,Market
DAY,2026-02-03,69.86000061035156,3.0,"turtle, macd",BULL
DVA,2026-02-03,134.72999572753906,3.0,"turtle, dema",BULL
UNP,2026-02-03,241.49000549316406,3.0,"turtle, dema",BULL
CTSH,2026-02-03,74.5,2.0,"rsi, bbands",BULL
HST,2026-02-03,18.8700008392334,2.0,"macd, dema",BULL
L,2026-02-03,107.41000366210938,2.0,turtle,BULL
MCK,2026-02-03,851.1199951171875,2.0,turtle,BULL
MCO,2026-02-03,471.04998779296875,2.0,"rsi, bbands",BULL
MPC,2026-02-03,187.5800018310547,2.0,turtle,BULL
MRK,2026-02-03,115.83999633789062,2.0,"macd, dema",BULL
NSC,2026-02-03,298.32000732421875,2.0,turtle,BULL
PSX,2026-02-03,148.08999633789062,2.0,turtle,BULL
SPGI,2026-02-03,468.2099914550781,2.0,"rsi, bbands",BULL
